gene	total_expr_left (6OHDA+NDST3)	total_expr_right (6-OHDA)	expr_difference
Ttc22	3	4	-1
Ttc30a2	1	2	-1
Ucn	0	1	-1
Ucp3	27	28	-1
Umodl1	1	2	-1
Uncx	82	83	-1
Upk2	0	1	-1
Ush2a	0	1	-1
Usp44	0	1	-1
Vegfc	46	47	-1
Vipr2	1	2	-1
Vmn1r232	0	1	-1
Vmn1r32	0	1	-1
Vmn1r85	0	1	-1
Vmn1r88	0	1	-1
Vmn2r120	0	1	-1
Vmn2r54	0	1	-1
Vmn2r57	0	1	-1
Wdfy4	0	1	-1
Wdr17	1	2	-1
Wdr45b	0	1	-1
Wdr95	0	1	-1
Wee2	5	6	-1
Wfdc12	1	2	-1
Xlr3a	119	120	-1
Xpnpep2	1	2	-1
Zbbx	0	1	-1
Zbtb32	0	1	-1
Zc2hc1b	0	1	-1
Zcchc3	75	76	-1
Zdhhc19	0	1	-1
Zfp105	22	23	-1
Zfp292	7	8	-1
Zfp300	3	4	-1
Zfp40	8	9	-1
Zfp42	0	1	-1
Zfp729b	20	21	-1
Zfp948	3	4	-1
Zfp961	8	9	-1
Zmynd12	2	3	-1
Zp2	0	1	-1
Zyg11a	3	4	-1
1520401A03Rik	1	3	-2
1700001C02Rik	0	2	-2
1700010B08Rik	0	2	-2
1700014D04Rik	3	5	-2
1700028J19Rik	21	23	-2
1700123L14Rik	0	2	-2
2610318N02Rik	4	6	-2
3110001I22Rik	0	2	-2
4930404N11Rik	10	12	-2
4930447C04Rik	1	3	-2
4930447F04Rik	1	3	-2
4930503B20Rik	0	2	-2
4930524B15Rik	0	2	-2
4930548H24Rik	0	2	-2
5730522E02Rik	12	14	-2
A630001G21Rik	5	7	-2
A630095N17Rik	0	2	-2
A730049H05Rik	0	2	-2
A730071L15Rik	7	9	-2
A930017K11Rik	21	23	-2
A930018P22Rik	6	8	-2
Acbd7	20	22	-2
Ackr2	0	2	-2
Acnat1	0	2	-2
Acox2	1	3	-2
Adamts12	2	4	-2
Adamts7	0	2	-2
Adgrv1	36	38	-2
Adm2	0	2	-2
Adprhl1	1	3	-2
Agbl1	4	6	-2
Amd1	10	12	-2
Angptl6	0	2	-2
Angptl7	1	3	-2
Ankrd54	54	56	-2
Ankrd61	4	6	-2
Aplf	7	9	-2
Apobec1	4	6	-2
Apoc2	0	2	-2
Apof	0	2	-2
Arhgap33os	1	3	-2
Arhgef15	48	50	-2
Armc3	3	5	-2
Avil	2	4	-2
Axdnd1	12	14	-2
Bard1	1	3	-2
BC051142	9	11	-2
BC055324	7	9	-2
Bcl2	21	23	-2
Bcl2a1b	1	3	-2
Bhlha9	1	3	-2
Bmf	27	29	-2
Bpifa1	0	2	-2
Bpifb1	2	4	-2
Brap	58	60	-2
Bsx	0	2	-2
C5ar1	0	2	-2
C5ar2	0	2	-2
Calcb	1	3	-2
Calhm6	1	3	-2
Calml4	3	5	-2
Capn6	6	8	-2
Capn9	5	7	-2
Car1	1	3	-2
Card6	7	9	-2
Carmil2	0	2	-2
Casq1	0	2	-2
Catsperg2	4	6	-2
Cby3	14	16	-2
Ccdc69	0	2	-2
Ccdc96	11	13	-2
Ccl4	4	6	-2
Ccl7	0	2	-2
Ccl8	0	2	-2
Ccn5	1	3	-2
Ccnf	14	16	-2
Cd101	0	2	-2
Cd109	1	3	-2
Cd19	1	3	-2
Cd28	1	3	-2
Cdh12	34	36	-2
Cdh18	4	6	-2
Cdh3	0	2	-2
Cdk15	4	6	-2
Cdsn	0	2	-2
Cdx1	0	2	-2
Ceacam2	0	2	-2
Cenpk	10	12	-2
Cep126	8	10	-2
Cfap300	2	4	-2
Chad	11	13	-2
Chd1l	4	6	-2
Chfr	79	81	-2
Chmp4c	3	5	-2
Chrna2	0	2	-2
Chst9	0	2	-2
Cilp2	0	2	-2
CK137956	6	8	-2
Clcn1	8	10	-2
Clcnkb	1	3	-2
Cldn19	2	4	-2
Cldn20	0	2	-2
Cmtm1	0	2	-2
Cnn1	1	3	-2
Cntn6	26	28	-2
Col8a1	2	4	-2
Coq10b	1	3	-2
Cr1l	83	85	-2
Crb3	14	16	-2
Cryba2	4	6	-2
Csnk1g1	45	47	-2
Ctsk	0	2	-2
Cul2	2	4	-2
Cyb5rl	0	2	-2
Cyct	7	9	-2
Cyp21a1	0	2	-2
Cyp26c1	4	6	-2
Cyp39a1	41	43	-2
Cysrt1	0	2	-2
D930020B18Rik	1	3	-2
Dbh	0	2	-2
Dct	9	11	-2
Ddx43	0	2	-2
Defb25	0	2	-2
Degs2	4	6	-2
Dhrs11	26	28	-2
Dis3	33	35	-2
Disp1	21	23	-2
Dmrt3	0	2	-2
Dnah17	2	4	-2
Dnah2	3	5	-2
Dnaic2	21	23	-2
Dqx1	5	7	-2
Drd1	3	5	-2
Dsg1b	1	3	-2
Dsg1c	0	2	-2
Dydc1	0	2	-2
Dynap	0	2	-2
E230025N22Rik	2	4	-2
Eaf2	16	18	-2
Ecm2	24	26	-2
Edn3	2	4	-2
Efhc1	1	3	-2
Efhc2	3	5	-2
Elobl	0	2	-2
Eme1	0	2	-2
Emid1	1	3	-2
Emilin3	0	2	-2
Ercc6l	1	3	-2
Espnl	2	4	-2
Esrp2	1	3	-2
F2rl3	6	8	-2
Fam122a	7	9	-2
Fam166b	1	3	-2
Fam169b	2	4	-2
Fam187a	0	2	-2
Fam50b	1	3	-2
Fanca	18	20	-2
Fancd2	11	13	-2
Fate1	7	9	-2
Fbxl15	13	15	-2
Fbxw26	0	2	-2
Fcrl1	0	2	-2
Fdx1	22	24	-2
Fetub	0	2	-2
Fgf16	0	2	-2
Fgfbp1	1	3	-2
Figla	5	7	-2
Fignl1	4	6	-2
Fndc10	56	58	-2
Folr1	4	6	-2
G0s2	68	70	-2
Ganc	22	24	-2
Gapt	0	2	-2
Gdf6	0	2	-2
Gfra4	9	11	-2
Gfral	0	2	-2
Gm10767	1	3	-2
Gm11733	2	4	-2
Gm128	4	6	-2
Gm26566	1	3	-2
Gm29776	1	3	-2
Gm36028	1	3	-2
Gm36176	0	2	-2
Gm5134	4	6	-2
Gm550	1	3	-2
Golga5	16	18	-2
Gpr173	1	3	-2
Gpr35	1	3	-2
Gprc5d	1	3	-2
Gprin3	5	7	-2
Grap2	2	4	-2
Grem1	4	6	-2
Gzmk	13	15	-2
Haao	1	3	-2
Has2	0	2	-2
Hectd2	17	19	-2
Hells	0	2	-2
Hist1h3a	2	4	-2
Hist2h2aa1	4	6	-2
Hist2h4	9	11	-2
Hmcn1	4	6	-2
Hpse	4	6	-2
Hrg	0	2	-2
Hsf2bp	4	6	-2
Hspb2	0	2	-2
Hspb3	2	4	-2
Hyal1	11	13	-2
Ifi207	0	2	-2
Ifit1	12	14	-2
Ifitm6	1	3	-2
Igfbp1	2	4	-2
Ihh	16	18	-2
Ikzf2	20	22	-2
Il1b	1	3	-2
Il6ra	52	54	-2
Iltifb	0	2	-2
Ip6k3	0	2	-2
Iqcf5	4	6	-2
Iqcm	7	9	-2
Iqub	2	4	-2
Irak3	32	34	-2
Irf4	1	3	-2
Irs4	53	55	-2
Itga2	0	2	-2
Itprid1	1	3	-2
Jhy	0	2	-2
Kbtbd12	2	4	-2
Kif11	2	4	-2
Klhl36	13	15	-2
Kncn	1	3	-2
Krt5	1	3	-2
L1td1	1	3	-2
L3mbtl4	0	2	-2
Lancl3	49	51	-2
Lepr	11	13	-2
Lmod1	6	8	-2
Loxhd1	0	2	-2
Lpar4	5	7	-2
Lrguk	35	37	-2
Lrig3	1	3	-2
Lrit3	3	5	-2
Lrp2bp	4	6	-2
Lrrc32	10	12	-2
Lrrc36	0	2	-2
Lrrc43	1	3	-2
Lsm2	39	41	-2
Ly6a	0	2	-2
Ly6g6d	7	9	-2
Lyz1	3	5	-2
Maml1	28	30	-2
03-Mar	3	5	-2
Matn3	0	2	-2
Mcemp1	0	2	-2
Meak7	4	6	-2
Mettl4	5	7	-2
Mindy4b-ps	12	14	-2
Mki67	4	6	-2
Mkrn2os	0	2	-2
Mks1	10	12	-2
Mmp12	1	3	-2
Mmp25	0	2	-2
Mmrn2	4	6	-2
Mms22l	11	13	-2
Mon1b	36	38	-2
Ms4a4b	1	3	-2
Mslnl	0	2	-2
Msr1	0	2	-2
Mtnr1a	1	3	-2
Mybphl	0	2	-2
Mycbpap	10	12	-2
Myct1	5	7	-2
Myl1	4	6	-2
Myl10	0	2	-2
Mymk	0	2	-2
Myo15	0	2	-2
Mzb1	6	8	-2
Naip1	2	4	-2
Ncf4	13	15	-2
Ncmap	57	59	-2
Neurod4	2	4	-2
Nfkb2	1	3	-2
Nid1	33	35	-2
Nmbr	12	14	-2
Nme3	7	9	-2
Nme9	0	2	-2
Nmrk1	31	33	-2
Nmur1	9	11	-2
Npm2	16	18	-2
Npsr1	45	47	-2
Nr1i3	0	2	-2
Nrip1	19	21	-2
Nt5c1a	9	11	-2
Nusap1	8	10	-2
Nxnl1	0	2	-2
Nyx	14	16	-2
Oas1g	2	4	-2
Olfr1391	0	2	-2
Olfr1419	2	4	-2
Olfr18	0	2	-2
Olfr287	0	2	-2
Olfr61	1	3	-2
Olfr685	1	3	-2
Olfr690	0	2	-2
Olfr94	1	3	-2
Ovca2	3	5	-2
P2rx6	1	3	-2
Pate10	3	5	-2
Pax1	1	3	-2
Pbk	3	5	-2
Pcdhb8	15	17	-2
Pcp2	1	3	-2
Pcsk5	5	7	-2
Pdcd10	61	63	-2
Pdcd1lg2	1	3	-2
Pex11g	3	5	-2
Pfkfb3	23	25	-2
Pgf	4	6	-2
Pglyrp2	0	2	-2
Phex	7	9	-2
Phf11b	1	3	-2
Phlda3	179	181	-2
Phpt1	4	6	-2
Pi15	2	4	-2
Pigl	4	6	-2
Pkd2l2	0	2	-2
Pla2g2d	2	4	-2
Pla2g4a	30	32	-2
Pla2g4c	37	39	-2
Pla2g5	0	2	-2
Pla2r1	0	2	-2
Plekhg4	40	42	-2
Pmel	3	5	-2
Poli	16	18	-2
Postn	1	3	-2
Pot1b	0	2	-2
Ppm1j	10	12	-2
Ppp1r36	2	4	-2
Ppp1r3d	13	15	-2
Ppp1r42	1	3	-2
Prap1	0	2	-2
Prok2	0	2	-2
Prokr1	10	12	-2
Prokr2	3	5	-2
Prrc1	32	34	-2
Prss41	1	3	-2
Prss45	6	8	-2
Prss55	0	2	-2
Pth2	122	124	-2
Ptpn7	0	2	-2
Pxn	43	45	-2
Rab20	2	4	-2
Rab32	2	4	-2
Rasef	6	8	-2
Rcc1l	71	73	-2
Reg3b	1	3	-2
Rfx2	15	17	-2
Rhox5	0	2	-2
Rin3	9	11	-2
Rnasel	22	24	-2
Rnf138rt1	0	2	-2
Rsl1d1	24	26	-2
Rtel1	183	185	-2
Runx3	5	7	-2
Rybp	1	3	-2
S100a9	0	2	-2
S1pr4	20	22	-2
Samd10	28	30	-2
Samd13	2	4	-2
Samd7	1	3	-2
Scaper	41	43	-2
Scara5	0	2	-2
Scarf1	1	3	-2
Scml4	7	9	-2
Sctr	2	4	-2
Sds	0	2	-2
Sec1	0	2	-2
Selenbp1	148	150	-2
Serpinb1b	35	37	-2
Serpinb6c	0	2	-2
Serpinc1	2	4	-2
Sgcg	0	2	-2
Sgo1	7	9	-2
Sh3d21	14	16	-2
Shcbp1	4	6	-2
Shld3	3	5	-2
Shox2	5	7	-2
Skor2	0	2	-2
Slc10a7	12	14	-2
Slc12a7	4	6	-2
Slc16a3	23	25	-2
Slc25a19	61	63	-2
Slc25a34	19	21	-2
Slc26a1	22	24	-2
Slc30a6	1	3	-2
Slc35g3	0	2	-2
Slc5a10	13	15	-2
Smim41	8	10	-2
Snapc5	30	32	-2
Snrpb	10	12	-2
Soat2	3	5	-2
Sox18	6	8	-2
Sp6	0	2	-2
Spag16	1	3	-2
Spag17	1	3	-2
Spata17	1	3	-2
Spata48	2	4	-2
Spatc1l	2	4	-2
Spocd1	23	25	-2
Srcap	6	8	-2
Srpx	11	13	-2
St14	0	2	-2
Stard3nl	22	24	-2
Stard9	4	6	-2
Stil	2	4	-2
Taar3	0	2	-2
Tars2	21	23	-2
Tas2r143	0	2	-2
Tcf24	3	5	-2
Tdo2	1	3	-2
Tedc1	1	3	-2
Tert	9	11	-2
Tfap2d	54	56	-2
Tfec	0	2	-2
Tgm4	0	2	-2
Themis2	0	2	-2
Ticrr	2	4	-2
Tk1	24	26	-2
Tll1	14	16	-2
Tlr1	1	3	-2
Tlr13	0	2	-2
Tlr7	6	8	-2
Tmem202	0	2	-2
Tmem236	3	5	-2
Tmem253	5	7	-2
Tmem26	17	19	-2
Tmem54	1	3	-2
Tmem60	15	17	-2
Tmem89	13	15	-2
Tmppe	2	4	-2
Traj17	0	2	-2
Traj4	1	3	-2
Traj41	0	2	-2
Traj42	1	3	-2
Traj52	0	2	-2
Traj6	2	4	-2
Trdj1	0	2	-2
Treml2	2	4	-2
Treml4	0	2	-2
Trhr	6	8	-2
Trim40	2	4	-2
Trim59	10	12	-2
Trit1	105	107	-2
Trpv1	0	2	-2
Tssk1	2	4	-2
Tssk4	1	3	-2
Ttll8	6	8	-2
Uba7	2	4	-2
Ubash3a	1	3	-2
Ube2u	1	3	-2
Ucp1	4	6	-2
Unc5cl	3	5	-2
Usp45	58	60	-2
Vmn2r85	4	6	-2
Vtcn1	0	2	-2
Vwa7	1	3	-2
Washc4	16	18	-2
Wdr38	2	4	-2
Wfdc9	1	3	-2
Wnt10b	1	3	-2
Xkrx	2	4	-2
Zc2hc1c	56	58	-2
Zcchc13	1	3	-2
Zfp235	16	18	-2
Zfp24	4	6	-2
Zfp354c	10	12	-2
Zfp385c	14	16	-2
Zfp52	20	22	-2
Zfp72	10	12	-2
Zfp729a	8	10	-2
Zfp945	6	8	-2
Zfp995	7	9	-2
Zmynd10	1	3	-2
Zscan22	8	10	-2
1700020L24Rik	0	3	-3
1700028P14Rik	2	5	-3
1700067K01Rik	5	8	-3
1700092M07Rik	5	8	-3
3110082J24Rik	11	14	-3
6330411D24Rik	47	50	-3
9130008F23Rik	2	5	-3
a	0	3	-3
AA467197	0	3	-3
Abca13	1	4	-3
Abcb1b	2	5	-3
Abcd1	14	17	-3
Abo	2	5	-3
Acpp	1	4	-3
Actl9	8	11	-3
Adap2	0	3	-3
Adgrg6	8	11	-3
Adgrl4	47	50	-3
Adig	6	9	-3
Angpt4	0	3	-3
Ankrd44	30	33	-3
Ankrd63	0	3	-3
Aox3	3	6	-3
Apela	0	3	-3
Aplnr	1	4	-3
Aqp1	7	10	-3
Arhgap18	48	51	-3
Arhgap19	5	8	-3
Arl4a	12	15	-3
Arl5c	13	16	-3
Arl9	2	5	-3
Arv1	13	16	-3
Asb11	1	4	-3
Ascl3	2	5	-3
Aspm	0	3	-3
Atad2	4	7	-3
Aunip	0	3	-3
AW554918	23	26	-3
BC028528	5	8	-3
Bmx	6	9	-3
Bnipl	13	16	-3
Boc	65	68	-3
Brinp2	35	38	-3
Btbd16	5	8	-3
C130026I21Rik	1	4	-3
C4bp	5	8	-3
Casc1	8	11	-3
Ccdc151	10	13	-3
Ccdc173	10	13	-3
Ccdc182	4	7	-3
Ccdc191	29	32	-3
Ccdc40	6	9	-3
Ccdc60	16	19	-3
Ccl11	0	3	-3
Ccl3	3	6	-3
Cd209a	0	3	-3
Cd3g	3	6	-3
Cd5l	1	4	-3
Cdkn1c	57	60	-3
Cep192	1	4	-3
Cers3	4	7	-3
Cfap206	15	18	-3
Cfap61	6	9	-3
Chrdl2	4	7	-3
Cklf	20	23	-3
Ckm	3	6	-3
Cnnm4	9	12	-3
Cnr2	2	5	-3
Cntd1	2	5	-3
Col14a1	1	4	-3
Colec11	7	10	-3
Colq	1	4	-3
Cpne8	6	9	-3
Crabp1	10	13	-3
Crip3	41	44	-3
Cryba4	3	6	-3
Crybg1	14	17	-3
Cryga	16	19	-3
Cyp4f14	30	33	-3
Dcbld2	46	49	-3
Dcstamp	6	9	-3
Ddx4	1	4	-3
Ddx51	14	17	-3
Deup1	18	21	-3
Dlgap5	1	4	-3
Dmrta2	2	5	-3
Dnah10	13	16	-3
Dnajc30	1	4	-3
Dock5	15	18	-3
Drd3	5	8	-3
Dusp23	6	9	-3
E030030I06Rik	10	13	-3
Eef1akmt2	9	12	-3
Efna2	57	60	-3
Efnb1	58	61	-3
Epcam	0	3	-3
Epha1	3	6	-3
Epha2	19	22	-3
Eri2	12	15	-3
Ermap	0	3	-3
Esr2	8	11	-3
Evpl	127	130	-3
Fam149a	2	5	-3
Fam186a	2	5	-3
Fam186b	1	4	-3
Fam71f2	7	10	-3
Fam89a	22	25	-3
Fam92b	16	19	-3
Fap	1	4	-3
Fas	9	12	-3
Fbln1	22	25	-3
Fbln5	64	67	-3
Fbxl7	1	4	-3
Fbxo40	3	6	-3
Fer1l6	0	3	-3
Fgd5	57	60	-3
Fgd6	23	26	-3
Fgf5	11	14	-3
Fhl3	2	5	-3
Flvcr2	3	6	-3
Fut7	2	5	-3
Gal3st2c	0	3	-3
Gapdhs	0	3	-3
Gas2l3	7	10	-3
Gbp2b	1	4	-3
Gdf5	7	10	-3
Ggn	1	4	-3
Ghdc	52	55	-3
Ghrh	15	18	-3
Ghrl	2	5	-3
Glb1l	6	9	-3
Glycam1	5	8	-3
Gm1141	2	5	-3
Gm12184	5	8	-3
Gm45521	6	9	-3
Gm4779	4	7	-3
Gm4969	6	9	-3
Gm5105	0	3	-3
Gm527	28	31	-3
Gm7324	1	4	-3
Gna14	6	9	-3
Gpr182	10	13	-3
Gpr75	30	33	-3
Gpr88	15	18	-3
Grap	8	11	-3
Grk5	67	70	-3
Gtpbp10	9	12	-3
Guca1b	3	6	-3
H2-Q4	1	4	-3
H2-Q6	4	7	-3
Haus4	7	10	-3
Henmt1	6	9	-3
Hist1h2bg	8	11	-3
Hist2h3b	22	25	-3
Hpdl	5	8	-3
Hpse2	6	9	-3
Hsd11b2	0	3	-3
Hsh2d	4	7	-3
Ifi202b	0	3	-3
Ifit1bl2	11	14	-3
Ifna2	0	3	-3
Igbp1b	13	16	-3
Ighd	1	4	-3
Igsf5	4	7	-3
Il12rb2	0	3	-3
Il1rn	0	3	-3
Il20rb	5	8	-3
Il6	1	4	-3
Iqcf1	0	3	-3
Itgal	0	3	-3
Itgax	0	3	-3
Itih2	1	4	-3
Kcnk7	0	3	-3
Kif20b	3	6	-3
Kif22	6	9	-3
Kif4	1	4	-3
Klhl1	88	91	-3
Krt4	1	4	-3
Lad1	22	25	-3
Lag3	0	3	-3
Lexm	0	3	-3
Lin28a	1	4	-3
Lor	89	92	-3
Lpar6	1	4	-3
Lpcat2b	0	3	-3
Lpo	29	32	-3
Lrif1	33	36	-3
Lrrc17	1	4	-3
Mab21l2	10	13	-3
Mab21l3	3	6	-3
Mageb3	3	6	-3
Mak	2	5	-3
Mdfic	8	11	-3
Mei1	0	3	-3
Mgl2	4	7	-3
Mipol1	9	12	-3
Morn3	2	5	-3
Msl3l2	71	74	-3
Muc2	4	7	-3
Mxd3	6	9	-3
Mylk3	2	5	-3
Naaladl2	7	10	-3
Nanp	34	37	-3
Ncapg2	7	10	-3
Ndufb2	0	3	-3
Nfkb1	45	48	-3
Nfkbie	18	21	-3
Ngfr	2	5	-3
Npas4	32	35	-3
Odc1	2	5	-3
Odf3	0	3	-3
Oip5	2	5	-3
Oit3	0	3	-3
Olfr920	1	4	-3
Otop2	1	4	-3
Otx2	5	8	-3
Oxct2b	4	7	-3
P4ha3	12	15	-3
Pcdhgb1	17	20	-3
Pheta2	5	8	-3
Pkd1l2	1	4	-3
Pkn3	4	7	-3
Plin1	1	4	-3
Pnpla6	159	162	-3
Pou6f2	2	5	-3
Pqlc3	11	14	-3
Prc1	11	14	-3
Prelid2	7	10	-3
Prss22	0	3	-3
Ptx4	2	5	-3
Rab39	1	4	-3
Rab5a	20	23	-3
Rad51	14	17	-3
Rad51b	3	6	-3
Rbl1	5	8	-3
Rbm38	7	10	-3
Rfxank	38	41	-3
Rgs22	8	11	-3
Rilp	17	20	-3
Rnf125	26	29	-3
Rnf148	4	7	-3
Robo4	24	27	-3
Rubcnl	12	15	-3
S100a10	12	15	-3
Scn4a	0	3	-3
Ska1	0	3	-3
Slc36a2	5	8	-3
Slc38a8	0	3	-3
Smad6	0	3	-3
Smim5	2	5	-3
Sord	4	7	-3
Spc25	6	9	-3
Spsb4	2	5	-3
St6galnac1	0	3	-3
Star	20	23	-3
Stard6	0	3	-3
Stpg4	4	7	-3
Strc	0	3	-3
Sun3	0	3	-3
Swsap1	8	11	-3
Synpo2l	1	4	-3
Tafa3	1	4	-3
Tceanc2	3	6	-3
Tcf7l1	10	13	-3
Tead3	0	3	-3
Tead4	4	7	-3
Tecta	2	5	-3
Tekt1	12	15	-3
Tent5a	19	22	-3
Timm8a2	0	3	-3
Tll2	3	6	-3
Tmc3	5	8	-3
Tmem136	39	42	-3
Tmem220	10	13	-3
Tmem95	1	4	-3
Traf3ip3	3	6	-3
Traj56	1	4	-3
Trib3	2	5	-3
Trim7	17	20	-3
Tspan6	15	18	-3
Ttc16	6	9	-3
Ttc21a	1	4	-3
Ttll10	3	6	-3
Uhrf1bp1	114	117	-3
Utrn	47	50	-3
Vwa3b	4	7	-3
Wfdc17	3	6	-3
Wnt9a	1	4	-3
Yipf7	1	4	-3
Zfp28	21	24	-3
Zfp595	20	23	-3
Zfp639	8	11	-3
Zfp772	0	3	-3
Zfp831	6	9	-3
Zfp938	5	8	-3
Zfp944	55	58	-3
Zfp974	4	7	-3
Zfyve16	44	47	-3
Zmynd15	9	12	-3
Zpld1	3	6	-3
1700003F12Rik	18	22	-4
1700016K19Rik	22	26	-4
2310057M21Rik	61	65	-4
2810021J22Rik	41	45	-4
4930404H24Rik	4	8	-4
4930432K21Rik	18	22	-4
4930556J24Rik	31	35	-4
4930578G10Rik	0	4	-4
9130023H24Rik	13	17	-4
9430038I01Rik	3	7	-4
A4galt	3	7	-4
Abcc9	46	50	-4
Acod1	2	6	-4
Acr	68	72	-4
Acy3	66	70	-4
Adamtsl2	4	8	-4
Adgb	0	4	-4
Agbl2	1	5	-4
Agrp	1	5	-4
Ahrr	1	5	-4
Aim2	1	5	-4
Amhr2	3	7	-4
Amigo3	4	8	-4
Angptl1	10	14	-4
Apoh	5	9	-4
Arhgef16	20	24	-4
Asb5	1	5	-4
Ass1	60	64	-4
Atg4a	1	5	-4
Atp4a	11	15	-4
Atp6v1e2	0	4	-4
B3galt4	12	16	-4
Batf	0	4	-4
Bcl11b	1	5	-4
Bhlhe23	4	8	-4
Bub1b	1	5	-4
C87499	2	6	-4
Cage1	16	20	-4
Capn7	47	51	-4
Card14	3	7	-4
Catspere2	92	96	-4
Catsperz	3	7	-4
Cavin1	33	37	-4
Ccdc153	7	11	-4
Ccl22	2	6	-4
Ccm2l	40	44	-4
Ccn2	8	12	-4
Cd300e	4	8	-4
Cd4	1	5	-4
Cdc42bpg	20	24	-4
Cdc42ep5	33	37	-4
Cdhr2	4	8	-4
Cdiptos	3	7	-4
Celsr1	2	6	-4
Cfap43	2	6	-4
Chodl	26	30	-4
Chrdl1	5	9	-4
Clrn1	1	5	-4
Col15a1	66	70	-4
Col4a5	10	14	-4
Commd5	33	37	-4
Comp	6	10	-4
Coq2	2	6	-4
Cped1	3	7	-4
Cps1	1	5	-4
Crb1	6	10	-4
Crybb1	11	15	-4
Cwh43	3	7	-4
Cybb	2	6	-4
Dbf4	11	15	-4
Dhh	3	7	-4
Dlx6	72	76	-4
Dnaaf4	22	26	-4
Dse	0	4	-4
Dytn	1	5	-4
Eci3	2	6	-4
Efcc1	7	11	-4
Emilin1	1	5	-4
Entpd7	11	15	-4
Eomes	0	4	-4
Ephx2	25	29	-4
Ets1	2	6	-4
Fam129a	5	9	-4
Fam166a	2	6	-4
Fam184a	106	110	-4
Fam220a.1	3	7	-4
Fbn2	18	22	-4
Fbp1	1	5	-4
Fdxacb1	54	58	-4
Fgf15	5	9	-4
Fgfr4	0	4	-4
Fkbp6	0	4	-4
Flvcr1	134	138	-4
Foxj1	6	10	-4
Frk	0	4	-4
Fsip1	12	16	-4
Galntl6	50	54	-4
Garem1	21	25	-4
Gata3	104	108	-4
Gck	1	5	-4
Ggt1	30	34	-4
Gins1	10	14	-4
Gipc2	51	55	-4
Gjb5	8	12	-4
Glb1l2	18	22	-4
Gldn	2	6	-4
Glrp1	2	6	-4
Gm11627	10	14	-4
Gm6569	2	6	-4
Gm8104	12	16	-4
Golt1b	13	17	-4
Gpr20	13	17	-4
Gpr83	40	44	-4
Grhl1	2	6	-4
Grin2d	40	44	-4
Gsdma2	1	5	-4
H2-Eb2	5	9	-4
Hgf	1	5	-4
Hist1h2ab	1	5	-4
Hist1h4a	9	13	-4
Hnf1b	0	4	-4
Hoga1	15	19	-4
Hrct1	34	38	-4
Htr6	1	5	-4
Hydin	1	5	-4
Ifi44	11	15	-4
Ifna13	1	5	-4
Il13ra1	11	15	-4
Il15	7	11	-4
Kcne1l	44	48	-4
Kif16b	29	33	-4
Kif23	4	8	-4
Klf12	27	31	-4
Klhl14	5	9	-4
Klra9	0	4	-4
Ldhal6b	5	9	-4
Lgals12	2	6	-4
Lmntd2	2	6	-4
Loxl2	10	14	-4
Lrmda	8	12	-4
Lrrc6	3	7	-4
Lrrc71	1	5	-4
Max	10	14	-4
Mfrp	6	10	-4
Mlh3	43	47	-4
Mme	16	20	-4
Mpzl3	7	11	-4
Mroh6	3	7	-4
Mst1	0	4	-4
Musk	1	5	-4
Myh11	7	11	-4
Myo5c	1	5	-4
Ndufs5	36	40	-4
Neurog1	2	6	-4
Nfu1	14	18	-4
Nif3l1	58	62	-4
Nit1	8	12	-4
Nkapl	25	29	-4
Nrap	15	19	-4
Nthl1	32	36	-4
Nuf2	7	11	-4
Nxph4	203	207	-4
Olfr1349	1	5	-4
Olfr691	45	49	-4
Osbpl10	5	9	-4
Osbpl11	12	16	-4
Osgin1	0	4	-4
Osm	1	5	-4
Parl	0	4	-4
Plpp4	21	25	-4
Pms1	14	18	-4
Pnma1	4	8	-4
Poc1a	15	19	-4
Polr2l	129	133	-4
Pram1	0	4	-4
Prcp	10	14	-4
Prkch	29	33	-4
Prss50	6	10	-4
Psrc1	0	4	-4
Ptprcap	4	8	-4
Pvrig	3	7	-4
Rad51c	3	7	-4
Reep4	65	69	-4
Reep6	15	19	-4
Rflna	3	7	-4
Rnase2b	1	5	-4
Rnf151	18	22	-4
Rnf19a	16	20	-4
Rnf223	57	61	-4
Ror2	2	6	-4
Rragc	109	113	-4
Rsph14	34	38	-4
Rspo1	17	21	-4
Runx1	3	7	-4
Rxfp2	17	21	-4
Sh3bgrl2	57	61	-4
Shisa3	0	4	-4
Shisa8	2	6	-4
Slc24a5	1	5	-4
Slc25a13	59	63	-4
Slc25a30	5	9	-4
Slc26a7	5	9	-4
Slc26a8	8	12	-4
Slc27a6	3	7	-4
Slc6a16	23	27	-4
Sox13	72	76	-4
Spata19	6	10	-4
Sstr2	16	20	-4
Ssu2	1	5	-4
Stc1	5	9	-4
Stimate	37	41	-4
Sult1a1	72	76	-4
Syap1	1	5	-4
Tacc3	47	51	-4
Taf7l	1	5	-4
Tcam1	3	7	-4
Tcap	9	13	-4
Tent5b	0	4	-4
Tg	0	4	-4
Thbs4	12	16	-4
Thnsl1	22	26	-4
Timm17a	16	20	-4
Tirap	18	22	-4
Tmem125	119	123	-4
Tmem171	0	4	-4
Tpbgl	11	15	-4
Traf3ip2	16	20	-4
Traf4	51	55	-4
Traj2	1	5	-4
Traj29	3	7	-4
Trarg1	5	9	-4
Trim12c	14	18	-4
Trim30d	5	9	-4
Tspan1	1	5	-4
Ttc23	4	8	-4
Tubgcp5	21	25	-4
Txlnb	14	18	-4
Ucma	1	5	-4
Ush1g	3	7	-4
Vamp9	2	6	-4
